"Acinetobacter ursingii"
"Acinetobacter venetianus"
"Actinoalloteichus spitiensis"
"Actinobacillus capsulatus"
"Actinobacillus minor"
"Actinobacillus pleuropneumoniae"
"Actinobacillus suis"
"Actinobacillus ureae"
"actinobacterium LLX17"
"Actinobaculum massiliense"
"Actinobaculum schaalii"
"Actinobaculum sp. oral taxon 183"
"Actinobaculum urinale"
"Actinokineospora enzanensis"
"Actinokineospora inagensis"
"Actinokineospora sp. EG49"
"Actinomadura atramentaria"
"Actinomadura flavalba"
"Actinomadura madurae"
"Actinomadura oligospora"
"Actinomadura rifamycini"
"Actinomyces cardiffensis"
"Actinomyces dentalis"
"Actinomyces europaeus"
"Actinomyces georgiae"
"Actinomyces gerencseriae"
"Actinomyces graevenitzii"
"Actinomyces israelii"
"Actinomyces johnsonii"
"Actinomyces massiliensis"
"Actinomyces naeslundii"
"Actinomyces nasicola"
"Actinomyces neuii"
"Actinomyces odontolyticus"
"Actinomyces oris"
"Actinomyces slackii"
"Actinomyces sp."
"Actinomyces sp. HPA0247"
"Actinomyces sp. ICM39"
"Actinomyces sp. ICM47"
"Actinomyces sp. ICM54"
"Actinomyces sp. oral taxon 170"
"Actinomyces sp. oral taxon 171"
"Actinomyces sp. oral taxon 172"
"Actinomyces sp. oral taxon 175"
"Actinomyces sp. oral taxon 178"
"Actinomyces sp. oral taxon 180"
"Actinomyces sp. oral taxon 181"
"Actinomyces sp. oral taxon 448"
"Actinomyces sp. oral taxon 848"
"Actinomyces sp. oral taxon 849"
"Actinomyces sp. oral taxon 877"
"Actinomyces sp. ph3"
"Actinomyces suimastitidis"
"Actinomyces timonensis"
"Actinomyces turicensis"
"Actinomyces urogenitalis"
"Actinomyces vaccimaxillae"
"Actinomyces viscosus"
"Actinomycetospora chiangmaiensis"
"Actinoplanes friuliensis"
"Actinoplanes globisporus"
"Actinoplanes missouriensis"
"Actinoplanes sp. N902-109"
"Actinoplanes sp. SE50/110"
"Actinopolymorpha alba"
"Actinopolyspora halophila"
"Actinopolyspora iraqiensis"
"Actinopolyspora mortivallis"
"Actinospica robiniae"
"Actinotalea ferrariae"
"Adhaeribacter aquaticus"
"Adlercreutzia equolifaciens"
"Advenella kashmirensis"
"Advenella mimigardefordensis"
"Aequorivita capsosiphonis"
"Aequorivita sublithincola"
"Aerococcus urinae"
"Aerococcus urinaeequi"
"Aerococcus viridans"
"Aeromonas caviae"
"Aeromonas dhakensis"
"Aeromonas diversa"
"Aeromonas enteropelogenes"
"Aeromonas hydrophila"
"Aeromonas media"
"Aeromonas molluscorum"
"Aeromonas salmonicida"
"Aeromonas sp. 159"
"Aeromonas sp. MDS8"
"Aeromonas taiwanensis"
"Aeromonas veronii"
"Aeropyrum camini"
"Aestuariibacter salexigens"
"Aestuariimicrobium kwangyangense"
"Afifella pfennigii"
"Afipia birgiae"
"Afipia broomeae"
"Afipia clevelandensis"
"Afipia felis"
"Afipia sp. 1NLS2"
"Afipia sp. NBIMC_P1-C1"
"Afipia sp. NBIMC_P1-C2"
"Afipia sp. NBIMC_P1-C3"
"Afipia sp. OHSU_I-C4"
"Afipia sp. OHSU_I-C6"
"Afipia sp. OHSU_I-uncloned"
"Afipia sp. OHSU_II-C1"
"Afipia sp. OHSU_II-uncloned"
"Afipia sp. P52-10"
"Agarivorans albus"
"Aggregatibacter actinomycetemcomitans"
"Aggregatibacter aphrophilus"
"Aggregatibacter segnis"
"Aggregatibacter sp. oral taxon 458"
"Agrobacterium albertimagni"
"Agrobacterium larrymoorei"
"Agrobacterium rhizogenes"
"Agrobacterium rubi"
"Agrobacterium sp. 10MFCol1.1"
"Agrobacterium sp. 33MFTa1.1"
"Agrobacterium sp. 719_389"
"Agrobacterium sp. ATCC 31749"
"Agrobacterium sp. H13-3"
"Agrobacterium sp. UNC420CL41Cvi"
"Agrobacterium tumefaciens"
"Agrococcus lahaulensis"
"Agrococcus pavilionensis"
"Agromyces italicus"
"Agromyces subbeticus"
"Ahrensia kielensis"
"Ahrensia sp. 13_GOM-1096m"
"Ahrensia sp. R2A130"
"Alcaligenes faecalis"
"Alcaligenes sp. EGD-AK7"
"Alcaligenes sp. HPC1271"
"Alcanivorax borkumensis"
"Alcanivorax dieselolei"
"Alcanivorax hongdengensis"
"Alcanivorax jadensis"
"Alcanivorax pacificus"
"Alcanivorax sp. 19-m-6"
"Alcanivorax sp. 43B_GOM-46m"
"Alcanivorax sp. 97CO-5"
"Alcanivorax sp. DG881"
"Algicola sagamiensis"
"Algiphilus aromaticivorans"
"Algoriphagus boritolerans"
"Algoriphagus mannitolivorans"
"Algoriphagus marincola"
"Algoriphagus terrigena"
"Algoriphagus vanfongensis"
"Aliagarivorans marinus"
"Aliagarivorans taiwanensis"
"Alicycliphilus denitrificans"
"Alicycliphilus sp. CRZ1"
"Alicyclobacillus acidocaldarius"
"Alicyclobacillus acidoterrestris"
"Alicyclobacillus contaminans"
"Alicyclobacillus herbarius"
"Alicyclobacillus hesperidum"
"Alicyclobacillus macrosporangiidus"
"Alicyclobacillus pohliae"
"Alicyclobacillus pomorum"
"Aliihoeflea sp. 2WW"
"Aliivibrio fischeri"
"Aliivibrio logei"
"Alishewanella aestuarii"
"Alishewanella agri"
"Alishewanella jeotgali"
"Alistipes finegoldii"
"Alistipes indistinctus"
"Alistipes onderdonkii"
"Alistipes senegalensis"
"Alistipes sp. HGB5"
"Alistipes timonensis"
"Alkalibacillus haloalkaliphilus"
"Alkaliflexus imshenetskii"
"Alkaliphilus peptidifermentans"
"Alkaliphilus transvaalensis"
"Alkanindiges illinoisensis"
